ISBL, R, 1000, 245941, 245949, 0.0015.
ISBL, O, 1000, 0, 999, 9.3e-06.
ISBL, I, 1000, 499497, 499498, 0.0043.
ISBB, R, 1000, 245941, 1998, 0.0034.
ISBB, O, 1000, 4160, 1122, 0.00053.
ISBB, I, 1000, 499499, 1996, 0.0031.
SheS, R, 1000, 18008, 5457, 0.00021.
SheS, O, 1000, 0, 5457, 5.3e-05.
SheS, I, 1000, 8246, 5457, 0.00056.
BubS, R, 1000, 244950, 497205, 0.012.
BubS, O, 1000, 0, 999, 6.6e-06.
BubS, I, 1000, 498499, 499500, 0.012.
Quk, R, 1000, 2322, 12082, 0.00074.
Quk, O, 1000, 290, 10779, 0.00036.
Quk, I, 1000, 290, 10779, 0.00038.
Sel, R, 1000, 996, 500499, 0.0067.
Sel, O, 1000, 0, 500499, 0.0074.
Sel, I, 1000, 500, 500499, 0.0064.
Hep, R, 1000, 9157, 19314, 0.00085.
Hep, O, 1000, 9395, 19790, 0.00082.
Hep, I, 1000, 9395, 19790, 0.00089.
TimS, R, 1000, 10968, 2560, 7.8e-05.
TimS, O, 1000, 10968, 2560, 7.7e-05.
TimS, I, 1000, 26339, 33187, 0.00022.
Mer, R, 1000, 0, 4932, 0.0017.
Mer, O, 1000, 0, 4932, 0.0016.
Mer, I, 1000, 0, 5051, 0.0016.
ISBL, R, 10000, 25206444, 25206455, 0.15.
ISBL, O, 10000, 0, 9999, 8.7e-05.
ISBL, I, 10000, 49994909, 49994910, 0.31.
ISBB, R, 10000, 25206472, 19970, 0.16.
ISBB, O, 10000, 41892, 11246, 0.0043.
ISBB, I, 10000, 49994999, 19909, 0.27.
SheS, R, 10000, 349704, 75243, 0.0047.
SheS, O, 10000, 0, 75243, 0.001.
SheS, I, 10000, 106574, 75243, 0.0013.
BubS, R, 10000, 25196456, 49966728, 0.81.
BubS, O, 10000, 0, 9999, 4.6e-05.
BubS, I, 10000, 49984911, 49995000, 0.91.
Quk, R, 10000, 29904, 179847, 0.0062.
Quk, O, 10000, 3529, 198927, 0.0051.
Quk, I, 10000, 3529, 198927, 0.0075.
Sel, R, 10000, 9986, 50004999, 0.56.
Sel, O, 10000, 0, 50004999, 0.54.
Sel, I, 10000, 5064, 50004999, 1.
Hep, R, 10000, 124216, 258432, 0.013.
Hep, O, 10000, 130462, 270924, 0.013.
Hep, I, 10000, 130462, 270924, 0.015.
TimS, R, 10000, 182359, 46720, 0.0013.
TimS, O, 10000, 182359, 46720, 0.0019.
TimS, I, 10000, 337112, 349133, 0.0041.
Mer, R, 10000, 0, 64608, 0.024.
Mer, O, 10000, 0, 64608, 0.027.
Mer, I, 10000, 0, 69059, 0.038.
ISBL, R, 100000, 2500389985, 2500389997, 21.
ISBL, O, 100000, 0, 99999, 0.00088.
ISBL, I, 100000, 4999942398, 4999942399, 32.
ISBB, R, 100000, 2500392856, 197167, 13.
ISBB, O, 100000, 415799, 112513, 0.049.
ISBB, I, 100000, 4999949866, 192855, 27.
SheS, R, 100000, 6371976, 967146, 0.048.
SheS, O, 100000, 0, 967146, 0.013.
SheS, I, 100000, 1282984, 967146, 0.011.
BubS, R, 100000, 2500289998, 4999153028, 90.
BubS, O, 100000, 0, 99999, 0.00074.
BubS, I, 100000, 4999842400, 4999950000, 1.1e+02.
Quk, R, 100000, 376525, 2305699, 0.073.
Quk, O, 100000, 34278, 2899039, 0.081.
Quk, I, 100000, 34278, 2899039, 0.066.
Sel, R, 100000, 99991, 5000049999, 62.
Sel, O, 100000, 0, 5000049999, 52.
Sel, I, 100000, 54689, 5000049999, 57.
Hep, R, 100000, 1574543, 3249086, 0.13.
Hep, O, 100000, 1647559, 3395118, 0.12.
Hep, I, 100000, 1647559, 3395118, 0.13.
TimS, R, 100000, 2482859, 627968, 0.029.
TimS, O, 100000, 2482859, 627968, 0.02.
TimS, I, 100000, 4025448, 3650414, 0.036.
Mer, R, 100000, 0, 815024, 0.14.
Mer, O, 100000, 0, 815024, 0.15.
Mer, I, 100000, 0, 856362, 0.16.
ISBL, R, 1000000, 249983895074, 249983895087, 1.8e+03.
ISBL, O, 1000000, 0, 999999, 0.0094.
ISBL, I, 1000000, 499998935744, 499998935745, 4e+03.
ISBB, R, 1000000, 249984155056, 1769670, 1.3e+03.
ISBB, O, 1000000, 4135417, 1125832, 1.2.
ISBB, I, 1000000, 499999401090, 1625649, 2.6e+03.
SheS, R, 1000000, 107235810, 11804265, 0.79.
SheS, O, 1000000, 0, 11804265, 0.11.
SheS, I, 1000000, 12211618, 11804265, 0.22.
BubS, R, 1000000, 249982895088, 499993064720, 8.2e+03.
BubS, O, 1000000, 0, 999999, 0.005.
